article_id,title,cited_by,pub_year
1696,Uso de las tecnologías de información y comunicación para el cuidado del binomio materno-fetal: revisión de tema,61,2016
1697,"Synthesis, NMR conformational analysis and pharmacological evaluation of 7, 7a, 13, 14-tetrahydro-6 H-cyclobuta [b] pyrimido [1, 2-a: 3, 4-a′] diindole analogues as melatonin …",894,1970
1698,Counting abilities in autism: Possible implications for central coherence theory,10480,1997
1699,Maximizing entropy over Markov processes,167,2014
1700,The generation of ZIP-V curves for tracing power system steady state stationary behavior due to load and generation variations,6000,1999
1701,From Mfangano to Madrid: the global commodity chain for Kenyan Nile perch,2886,2010
1702,Disruption of guanylyl cyclase-G protects against acute renal injury,10413,2008
1703,ID 115–Near infrared spectroscopy as a seizure detection technology for patients with epilepsy,1028,2016
1704,Response of nonlinear soil‐MDOF structure systems subjected to distinct frequency‐content components of near‐fault ground motions,1211,2014
1705,The Challenges of Applying Planetary Boundaries as a Basis for Strategic Decision-Making in Companies with Global Supply Chains,63,1970
1706,Scaling up flux measurements for the boreal forest using aircraft‐tower combinations,7167,1997
1707,A missionary source for a biography of Munshi Abdullah,2452,1970
1708,First-principles spin-polarized calculations on the reduced and reconstructed TiO 2 (110) surface,41465,1997
1709,"Electronic component, manufacturing method therefor, aggregate electronic component, mounting structure of electronic component, and electronic device",1005,2002
1710,Coal ash conversion into effective adsorbents for removal of heavy metals and dyes from wastewater,29877,2006
1711,Colombia at the crossroads: The future of the peace accords,1042,2002
1712,Heat Transfer in Separated Flow behind a Circular Cylinder for Reynolds numbers from 120 to 30000,681,1970
1713,Multidimensional Scaling as Visualization Tool of Web Sequence Rules,572,1970
1714,Face-selective activation in the middle fusiform gyrus in a patient with acquired prosopagnosia: abnormal modulation for face identity,1011,2007
1715,Binary dislocation junction formation and strength in hexagonal close-packed crystals,1028,2016
1716,First-principles study of heat transport properties of graphene nanoribbons,14812,2010
1717,Developmental treatment with methylphenidate increases stress reactivity and produces Neuroanatomical differences in adulthood,600,2006
1718,Wearable carbon nanotube-based fabric sensors for monitoring human physiological performance,4119,2017
1719,"Herbaceous diversity in proposed mining area of Rowghat in Narayanpur District of Chhattisgarh, India",469,1970
1720,Flexoelectric effect and human eye perception on the image flickering of a liquid crystal display,293,2015
1721,Recognition of RNA cap in the Wesselsbron virus NS5 methyltransferase domain: implications for RNA-capping mechanisms in Flavivirus,1611,2009
1722,The acute effects of alcohol on cerebral hemodynamic changes induced by the head-up tilt test in healthy subjects,2661,2016
1723,The rate of star formation in normal disk galaxies,60140,1983
1724,Decentralization and urban governance: reforming Tokyo metropolitan government,1885,1970
1725,Performance based earthquake engineering approach applied to bridges in a road network,70,2015
1726,Les systèmes de génération d’énergie électrique à partir des courants de marées,1103,2008
1727,A scale-invariant formulation of the anticipated potential vorticity method,2481,2011
1728,Fluorescent probes for imaging endogenous β-actin mRNA in living cells using fluorescent protein-tagged pumilio,528,2012
1729,Social marketing of insecticide-treated bed net for malaria control: an experience in a semi-urban community in south-south Nigeria,147,1970
1730,Surface Nuclear Magnetic Resonance (SNMR)-A new method for exploration of ground water and aquifer properties,2556,1970
1731,Simultaneous profiling of polar lipids by supercritical fluid chromatography/tandem mass spectrometry with methylation,5425,2013
1732,Synergistically optimized electrical and thermal transport properties of SnTe via alloying high-solubility MnTe,13987,1970
1733,"Growth of uniformly aligned ZnO nanowire heterojunction arrays on GaN, AlN, and Al0. 5Ga0. 5N substrates",18325,2005
1734,Viewpoint variation in the noise sensitivity of pose estimation,1382,1996
1735,WW domain-containing oxidoreductase promotes neuronal differentiation via negative regulation of glycogen synthase kinase 3β,3489,2012
1736,Engineered fusokine GIFT4 licenses the ability of B cells to trigger a tumoricidal T-cell response,1413,2014
1737,A new exact solution for pricing European options in a two-state regime-switching economy,2497,2012
1738,Minimal counterexamples for linear-time probabilistic verification,905,2014
1739,Electron transfer properties of mono-and diferrocenyl based Cu complexes attached as self-assembled monolayers on gold electrodes by “self-induced” electroclick,720,2013
1740,Falla renal aguda asociada a síndrome de hiperestimulación ovárica,61,2016
1741,“I know if I drink I won’t feel anything”: Substance use relapse among depressed women leaving prison,2886,2013
1742,"The relationships among verbal short-term memory, phonological awareness, and new word learning: Evidence from typical development and Down syndrome",10480,2009
1743,The industrial recycling-network: enhancing regional development,1999,1970
1744,Progress in hematopoietic stem cell transplantation as allogeneic cellular gene therapy in thalassemia,3221,2010
1745,Damage to functional components and partial degradation of photosystem II reaction center proteins upon chloroplast exposure to ultraviolet-B radiation,41465,1992
1746,An application of neural network to dynamic dispatch using multi processors,6000,1994
1747,Effects of adding a spectral peak generated by the second pinna resonance to a parametric model of head-related transfer functions on upper median plane sound localization,1005,2018
1748,On serial symmetric exchanges of matroid bases,558,2013
1749,New appendix criteria open for a broader concept of chronic migraine,74403,2006
1750,New model to predict the timing of olive (Olea europaea) flowering: A case study in central Italy,1153,2006
1751,"Synthesis and pharmacological evaluation of 1,2,3,4-tetrahydropyrazino[1,2-a]indole and 2-[(phenylmethylamino)methyl]-1H-indole analogues as novel …",894,2009
1752,Global inequities and emissions in Western European textiles and clothing consumption,63,2016
1753,Course design as a collaborative enterprise: Incorporating interdisciplinarity into a backward mapping systems approach to course design in higher education,404,2017
1754,Effectiveness of synthesis in concolic deobfuscation,167,2017
1755,Corrosion behavior of electroless nickel/immersion gold plating by interfacial morphology,709,2015
1756,"Distribution and population structure of the fish Helicolenus dactylopterus dactylopterus (Delaroche, 1809) in the Central Mediterranean (Southern Tyrrhenian Sea)",71,2009
1757,Mapping QTLs for drought tolerance using an introgression line population from a cross between Ilpumbyeo and Moroberekan in rice,109,1970
1758,An automated in vitro model for the evaluation of ultrasound modalities measuring myocardial deformation,1028,2010
1760,"Ecology, diversity, and evolution of magnetotactic bacteria",14521,2013
1761,Organic matter release by coral reef associated benthic algae in the Northern Red Sea,1491,2010
1762,"Political Parties, Justice Systems and the Poor: The Experience of the Arab States",1042,2002
1763,High performance liquid crystals for vehicle displays,293,2016
1764,Procalcitonin as a biomarker for bacterial infections in patients with liver cirrhosis in the emergency department,10413,2011
1765,Picosecond and femtosecond laser ablation of hard tissues [2922-10],877,1970
1766,Formyl‐CoA transferase encloses the CoA binding site at the interface of an interlocked dimer,1611,2003
1767,Systematic approaches toward minimum maintenance risk management methods for weathering steel infrastructures,1572,2007
1768,"Practical vs. identity regionalism: Australia's APC initiative, a case study",2452,2014
1769,Theoretical calculation of excitonic binding energies and optical absorption spectra for Armchair graphene nanoribbons,1211,2011
1770,Scene classification and parahippocampal place area activation in an individual with visual form agnosia,1011,2002
1771,KEMENY’S AXIOMATIC APPROACH TO FIND CONSENSUS RANKING IN TOURIST SATISFACTION,572,1970
1772,Urea concentration in buffalo milk in relation to storage and sampling,286,1970
1773,Continuum limit in random sequential adsorption,14812,1991
1774,Dislocation dynamics simulations of junctions in hexagonal close-packed crystals,1028,1970
1775,Thrombolysis for stroke,2661,1970
1776,Time-frequency analysis of pressure fluctuations on a hydrofoil undergoing a transient pitching motion using Hilbert-Huang and Teager-Huang transforms,1103,2007
1777,Leguminous Trees an Innovative Tool for Soil Sustainability,469,1970
1778,Cementitious composites engineered with embedded carbon nanotube thin films for enhanced sensing performance,4119,1970
1779,Magnetic resonance tomography using elongated transmitter and in-loop receiver arrays for time-efficient 2-D imaging of subsurface aquifer structures,2556,2014
1780,Alpha modulation in parietal and retrosplenial cortex correlates with navigation performance,2858,2012
1781,The dependence of ITCZ structure on model resolution and dynamical core in aquaplanet simulations,2481,2014
1782,"Indefinite Detention of Sex Offenders and Human Rights: The Intervention of the Human Rights Committee of the United Nations: Re Fardon, Communication No 1629/2007, Human …",479,2010
1783,"Síndrome hemolítico urémico atípico en un paciente joven con compromiso renal, neurológico, ocular y cardiovascular",61,1970
1784,Star formation in the Milky Way and nearby galaxies,60140,2012
1785,A comprehensive study on carbon dioxide reforming of methane over Ni/γ-Al2O3 catalysts,29877,1999
1786,Cloning and kinetic characterization of Arabidopsis thaliana solanesyl diphosphate synthase,5425,2003
1787,Cloning and characterization of a novel transforming growth factor-β1-induced TIAF1 protein that inhibits tumor necrosis factor cytotoxicity,3489,1998
1788,Critical assessment of intensity measures for seismic response of Italian RC bridge portfolios,70,2017
1789,Unification-based multimodal analysis in a 3D virtual world: the Staging project,1382,1970
1790,In situ field emission of density‐controlled ZnO nanowire arrays,18325,2007
1791,Specific hydrogen-bonding networks responsible for selective O2 sensing of the oxygen sensor protein HemAT from Bacillus subtilis,528,2006
1792,Stem cell transplantation for thalassaemia,3221,2005
1793,Calculating the early exercise boundary of American put options with an approximation formula,2497,2007
1794,Unsteady heat transfer in separated flow behind a circular cylinder,681,1970
1795,Metropolitan government,1885,1970
1796,Counterexample generation for Markov chains using SMT-based bounded model checking,905,1970
1797,Bridging structural biology and genetics by computational methods: an investigation into how the R774C mutation in the AR gene can result in complete androgen insensitivity …,1413,2003
1798,Extending car-sharing to serve commuters: An implementation in Austria,1999,2014
1799,Highly transparent and conductive stretchable conductors based on hierarchical reticulate single‐walled carbon nanotube architecture,13987,2012
1800,A generalizability theory analysis of group process ratings in the treatment of cocaine dependence,2886,2011
1801,A discrete dislocation dynamics modeling for thermal fatigue of preferred oriented copper via patterns,709,2010
1802,One-way stack automata,41465,1967
1803,Peak load forecasting using analyzable structured neural network,6000,2001
1804,Probing the Pharmacophore for Allosteric Ligands of Muscarinic M2 Receptors:  SAR and QSAR Studies in a Series of Bisquaternary Salts of Caracurine V and …,894,2004
1805,rTMS reduces cortical imbalance associated with visual hallucinations after occipital stroke,1011,2016
1806,Sound Image Localization Apparatus,1005,2008
1807,SCUBE3 is an endogenous TGF-β receptor ligand and regulates the epithelial-mesenchymal transition in lung cancer,10413,2011
1808,"Predation, feeding strategy and food daily ration in juvenile European hake",71,2011
1809,Red blood cell micromanipulation with elliptical laser beam profile optical tweezers in different osmolarity conditions,877,2011
1810,"Knowledge, Attitude and Use of Clinical Preventive Services among Patients Attending the General Out-patient Clinic of a Tertiary Hospital in South-south Nigeria",147,1970
1811,Climatic indices in the interpretation of the phenological phases of the olive in mediterranean areas during its biological cycle,1153,2013
1812,Transcutaneous analyte sensor,74403,2011
1813,Differential constraints on the working memory and reading abilities of individuals with learning difficulties and typically developing children,10480,2005
1814,Fast-response liquid crystals for high image quality wearable displays,293,2015
1815,Fragmented Hegemony and the Dismantling of the War System in Colombia,1042,2018
1816,Are sounds from mechanical heart valves equal for different valve types?,1028,2008
1817,"Estimating crop stresses, aboveground dry biomass and yield of corn using multi-temporal optical data combined with a radiation use efficiency model",7167,2010
1818,Towards inclusion: language use in the Department of Defence,404,2014
1819,Nonequilibrium Green’s function method for thermal transport in junctions,14812,2007
1820,Microaerobic conditions are required for magnetite formation within Aquaspirillum magnetotacticum,14521,1985
1821,Electrochemical behavior and dioxygen reactivity of tripodal dinuclear copper complexes linked by unsaturated rigid spacers,720,1970
1822,Performances of coastal weathering steel,1572,1970
1823,On extensions of the Alon-Tarsi Latin square conjecture,558,2012
1824,Organic matter release by the dominant primary producers in a Caribbean reef lagoon: implication for in situ O2 availability,1491,2010
1825,Kinetic and mechanistic characterization of the formyl-CoA transferase from Oxalobacter formigenes,1611,2004
1826,A Critical Review of the Role of Indicators in Implementing the Sustainable Development Goals,63,2017
1827,Threats to Biodiversity and Conservation Strategies,469,1970
1828,Error characteristics of two grid refinement approaches in aquaplanet simulations: MPAS-A and WRF,2481,2013
1829,Understanding amine catalyzed silica polymerization: diatoms as bioarchitects.,1028,2007
1830,Influences of biofluid sample collection and handling procedures on GC–MS based metabolomic studies,5425,2010
1831,Quantifying information leakage of randomized protocols,167,2015
1832,An EEG-based perceptual function integration network for application to drowsy driving,2858,2015
1833,Kinetic modelling and mechanism of dye adsorption on unburned carbon,29877,2007
1834,Comparative analysis of intensity measures for reinforced concrete bridges,70,2014
1835,Who created Malaysia's plural society?,2452,1970
1836,Manual of neurosonology,2661,2016
1837,High‐performance integrated ZnO nanowire UV sensors on rigid and flexible substrates,18325,2011
1838,Predictors of 5-year mortality following inpatient/residential group treatment for substance use disorders,2886,2005
1839,Effects of inertial soil–structure interaction on inelastic displacement ratios of SDOF oscillators subjected to pulse-like ground motions,1211,2015
1840,MPP+‐induced neuronal death in rats involves tyrosine 33 phosphorylation of WW domain‐containing oxidoreductase WOX1,3489,2008
1841,Preventive detention for'dangerous' offenders in Australia: A critical analysis and proposals for policy development,479,1970
1842,H II regions and the abundance properties of spiral galaxies,60140,1994
1843,Studies on buffalo calf mortality in Jabalpur district of Madhya Pradesh,286,2017
1844,Pressure fluctuations associated with tip vortex and surface cavitation,1103,1970
1845,Joint parameter estimation from magnetic resonance and vertical electric soundings using a multi-objective genetic algorithm,2556,2014
1846,Severe hypoxemic respiratory failure caused by Pneumocystis jirovecii in a late kidney transplant recipient,61,2018
1847,Boosted incremental tree-based imputation of missing data,572,1970
1849,Recent advances in skin-inspired sensors enabled by nanotechnology,4119,2012
1850,Optimal operational planning for cogeneration system using particle swarm optimization,6000,2003
1851,Second-order wave diffraction forces on a vertical circular cylinder due to short-crested waves,2497,1995
1852,"Structure of 2, 3, 4-μ3-chloro-1, 2, 3; 1, 3, 4; 1, 2, 4-tri-μ3-sulfido-tris [(triphenylphosphine) copper](sulfidotungsten)(3 Cu–W). 0.5-propanol",1413,1991
1853,Does attenuated divisive normalization affect gaze processing in autism spectrum disorder? A commentary on Palmer et al.(2018).,1011,2019
1854,Superimposing circuit module for reducing spurious electromagnetic wave emissions and small variations in circuit parameters,1005,2004
1855,Fluid flow and local heat transfer around two cubes arranged in tandem on a flat plate turbulent boundary layer,681,1970
1856,Swordfish (Xiphias gladius Linnaeus 1758) harpoon fishery: a method of evaluation of swordfish presence in the Strait of Messina (Central Mediterranean Sea),71,2010
1857,Two ligand-binding sites in the O2-sensing signal transducer HemAT: Implications for ligand recognition/discrimination and signaling,528,2006
1858,Error-correction problems in autism: evidence for a monitoring impairment?,10480,1998
1859,P322 Fully automated R-peak detection algorithm for patients with epilepsy: First step towards portable seizure detector,1028,2017
1860,Miami: Minority empowerment and regime change,1885,1991
1861,Observation of topological edge states in parity–time-symmetric quantum walks,13987,2017
1862,Indicators on economic risk from global climate change,1999,2009
1863,Effect of diffusion on lithium intercalation in titanium dioxide,41465,2001
1864,Correctness issues of symbolic bisimulation computation for Markov chains,905,2010
1865,CAUSE OF FREQUENT OCCURRENCE OF GRAVEL SLOPE LANDSLIDE AND EXPERIMENT SIMULATION [J],293,1970
1866,Stereochemistry of caracurine V,894,2000
1867,"Improving skilled attendants at birth: Experience in a primary health care facility in Rivers State, South-South Nigeria.",147,1970
1868,Sub-T c Electron Transfer at the Hg-HTSC/Liquid-Electrolyte Interface,720,2003
1869,Treatment of Iron Overload in the “Ex‐Thalassemic”: Report from the Phlebotomy Programa,3221,1998
1870,"DE‐loop mutations affect β2 microglobulin stability, oligomerization, and the low‐pH unfolded form",1611,2010
1871,CGRP may play a causative role in migraine,74403,2002
1872,Climate change impact on the olive pollen season in Mediterranean areas of Italy: air quality in late spring from an allergenic point of view,1153,2012
1873,Identification and characterization of oligonucleotides that inhibit Toll-like receptor 2-associated immune responses,10413,2009
1874,GC‐MS‐based metabolomics reveals mechanism of action for hydrazine induced hepatotoxicity in rats,5425,2011
1875,Coral mucus fuels the sponge loop in warm-and cold-water coral reef ecosystems,1491,2016
1876,Toward Improved Coefficients for Predicting Direct N2O Emissions from Soil in Canadian Agroecosystems,7167,2005
1877,Critical thinking and self-directed learning as an outcome of problem-based learning among nursing students in Egypt and Kingdom of Saudi Arabia,131,2013
1878,Hydrothermal alteration of kimberlite by convective flows of external water,241,2014
1879,"A novel lanthanum-modified bentonite, Phoslock, for phosphate removal from wastewaters",29877,2009
1880,A hierarchical classification system for sleep stage scoring via forehead EEG signals,2858,2013
1881,Rapid development of phosphorus limitation in temperate rainforest along the Franz Josef soil chronosequence,4213,2004
1882,Exploring a multiresolution approach using AMIP simulations,2481,2015
1883,A simplified simulation model and virtual reality visualization of tumour growth in vitro,877,1998
1884,3-D modelling of Surface NMR amplitudes and decay times,2556,2002
1885,Derivation of fragility functions for seismic assessment of RC bridge portfolios using different intensity measures,70,2017
1886,The system of THEME in Japanese,404,1970
1887,Investigating fairness in global supply chains: applying an extension of the living wage to the Western European clothing supply chain,63,2018
1888,On the length of a partial independent transversal in a matroidal Latin square,558,2012
1889,Agroforestry and Agrihorticulture for Higher Income and Resource Conservation,469,1970
1890,Method of detecting corrosion rate of member of steel material,1572,1989
1891,Effect of soymilk as partial milk replacer on feed intake and growth performance on Murrah buffalo calves,286,2017
1892,Prediction of Precipitation Strengthening in the Commercial Mg Alloy AZ91 Using Dislocation Dynamics,1028,2018
1893,Interfacial thermal conductance between silicon and a vertical carbon nanotube,14812,2008
1894,Single-crystal CdSe nanosaws,18325,2004
1895,Synthesis and in vitro characterization of ionone-based compounds as dual inhibitors of the androgen receptor and NF-κB,1413,2014
1896,Reactive tabu search for distribution load transfer operation,6000,2000
1897,Biologically controlled mineralization in prokaryotes,14521,2003
1898,Communities of thought,2452,1970
1899,Phase shifter and communication device using the same,1005,2003
1900,Food consumption of five deep‐sea fishes in the Balearic Basin (western Mediterranean Sea): are there daily feeding rhythms in fishes living below 1000 m?,71,2014
1901,Diffraction of ocean waves around a hollow cylindrical shell structure,2497,2009
1902,A wireless impedance analyzer for automated tomographic mapping of a nanoengineered sensing skin,4119,2011
1903,"Relationship between DNA fragmentation, energy state, and protein synthesis after transient focal cerebral ischemia in mice",2661,1970
1904,Scalable approximation of quantitative information flow in programs,167,2018
1905,"S. & Wallace, A.(2013) Juries and Social Media, Centre for Law, Governance and Public Policy, a report commissioned by the Victorian Department of Justice on behalf of the …",479,1970
1906,A qualitative study of treatment needs among pregnant and postpartum women with substance use and depression,2886,2013
1907,"Catalytic decomposition of 2-chlorophenol using an ultrasonic-assisted Fe3O4–TiO2@ MWCNT system: Influence factors, pathway and mechanism study",1211,2018
1908,Regulation of macrophage Fc receptor expression and phagocytosis by histidine-rich glycoprotein.,3489,1992
1909,Suppression of unformed visual hallucinations in homonymous hemianopia from occipital stroke using TMS,1011,2015
1910,Primary hiperoxaluria diagnosed after kidney transplantation: report of 2 cases and literature review,61,2017
1911,Rethinking globalization—The impact of central governments on world cities,1885,1970
1912,Metallic scales and method of manufacturing the same,681,1985
1913,Highly fluorinated liquid crystals with wide nematic phase interval and good solubility,293,2014
1914,What makes strategic deception difficult for children—the deception or the strategy?,10480,1994
1915,Numerical investigations of the cavitating flow on two-dimensional hydrofoils: physical modelling methodologies,1103,2008
1916,Modelling and testing the stability of edge segments: Length and orientation,1382,1970
1917,SINGS: The SIRTF nearby galaxies survey,60140,2003
1918,Dynamic recursive tree-based partitioning for malignant melanoma identification in skin lesion dermoscopic images,572,2018
1919,Reducing the greenhouse effect in Austria. A general equilibrium evaluation of CO2-policy-options.,1999,1970
1920,"Isolation and characterization of a secreted, cell-surface glycoprotein SCUBE2 from humans",10413,2009
1921,"Experiences and attitudes of young men towards abortion in a semi-urban community in Rivers State, Nigeria",147,1970
1922,Crystal structure of the productive ternary complex of dihydropyrimidine dehydrogenase with NADPH and 5-iodouracil implications for mechanism of inhibition and electron transfer,1611,2002
1923,PPAR gamma activators: off-target against glioma cell migration and brain invasion,894,1970
1924,Dependability engineering of silent self-stabilizing systems,905,1970
1925,Modeling the effects of fertilizer application rate on nitrous oxide emissions,7167,2006
1926,Multiphase compositional modelling of CO2 injection under subcritical conditions: the impact of dissolution and phase transitions between liquid and gaseous CO2 on reservoir …,241,2013
1927,Protein conformation changes of HemAT-Bs upon ligand binding probed by ultraviolet resonance Raman spectroscopy,528,2008
1928,Atmospheric moisture budget and spatial resolution dependence of precipitation extremes in aquaplanet simulations,2481,2014
1929,Blood gas tensions in adult asthma: a systematic review and meta-regression analysis,1028,2014
1930,Simplified period estimation of Italian RC bridges for large-scale seismic assessment,70,1970
1931,Fast algorithms for evaluating the stress field of dislocation lines in anisotropic elastic media,1028,2018
1932,"Regional Cerebral Blood Flow in Man Determined by the Initial Slope of the Clearance of Intra-arterially Injected l33Xe: THEORY OF THE METHOD, NORMAL VALUES, ERROR OF …",74403,1971
1933,Dehydrogenation of ethane with carbon dioxide over supported chromium oxide catalysts,29877,2000
1934,"Postcolonial criticism: history, theory and the work of fiction",41465,1970
1935,Beyond the ‘east–west’dichotomy: Global variation in cultural models of selfhood.,13987,2016
1936,Low-temperature properties of the±J Ising spin glass in two dimensions,14812,1988
1937,Relationship between flowering and heat units to analyze crop efficiency of olive cultivars located in southern Italy,1153,2005
1938,Inducible IL10+ Suppressor B Cells Inhibit CNS Inflammation and T Helper 17 Polarization,1413,2012
1939,"Comunicar literatura, comunicar cultura: variaciones en la confirmación de la página literaria del diario La Gaceta de Tucumán entre 1956 y 1962",32,1970
1940,Effect of Saccharomyces cerevisiae and Lactobacillus acidophilus as Probiotics on Performance of Barbari kids,286,1970
1941,Better rather than more?: exploring the sustainability implications of paying a living wage in the Western European clothing supply chain.,63,2016
1942,Direct Determination of Electron‐Transfer Properties of Dicopper‐Bound Reduced Dioxygen Species by a Cryo‐Spectroelectrochemical Approach.,720,2017
1943,EEG-based brain dynamics of driving distraction,2858,2011
1944,Network structure of rust formed on weathering steel surfaces and its relationship with corrosion resistance,1572,1970
1945,"Long‐term ecosystem level experiments at Toolik Lake, Alaska, and at Abisko, Northern Sweden: generalizations and differences in ecosystem and plant type responses to global change",4213,2004
1946,Estrategia Marina,71,1970
1947,David Larwill,404,1970
1948,T cell-depleted hla-haploidentical stem cell transplantation in thalassemia young patients,3221,2011
1949,"Dangerous people: Policy, prediction, and practice",479,2011
1950,Monoclonal antibody kit for identification of the novel 2009 H1N1 influenza A virus,2886,2010
1951,Effect of reading on blood flow changes in the posterior cerebral artery in early blind and sighted people—A transcranial Doppler study,2661,2016
1952,Verification of cooperative control method for voltage control equipment on distribution network simulator considering interconnection of wind power generators,6000,2002
1953,Harmonizing lipidomics: NIST interlaboratory comparison exercise for lipidomics using SRM 1950–Metabolites in Frozen Human Plasma,5425,2017
1954,Species-specific physiological response by the cold-water corals Lophelia pertusa and Madrepora oculata to variations within their natural temperature range,1491,2014
1955,"Analysis of herbaceous diversity in fire affected areas of Bhoramdeo Wildlife Sanctuary, Chhattisgarh",469,1970
1956,Relative hydraulic conductivity in the vadose zone from magnetic resonance sounding—Brooks-Corey parameterization of the capillary fringe,2556,2011
1957,Effectiveness of a first‐aid intervention program applied by undergraduate nursing students to preparatory school children,131,2014
1958,Early monocular enucleation selectively disrupts the development of neural mechanisms for face perception,1011,2014
1959,Identification of phosphorylation sites on AChR δ-subunit associated with dispersal of AChR clusters on the surface of muscle cells,3489,1998
1960,PVDF microbelts for harvesting energy from respiration,18325,1970
1961,The optical responsivity in IR-photodetector based on armchair graphene nanoribbons with p–i–n structure,1211,2012
1962,Reduction in flow rate of small cooling fans by an obstruction,681,1970
1963,On partitioning two matroids into common independent subsets,558,2005
1964,Effects of front/back energy ratios of early and late reflections on listener envelopment,1005,1998
1965,"Region, Security and the Return of History",2452,1970
1966,Hybrid statistical estimation of mutual information for quantifying information flow,167,2016
1967,Laser-excited autofluorescence for discrimination of atherosclerosis,877,1999
1968,Evaluation of active variable pitch technologies as current turbines,1103,1970
1969,Nitrous oxide fluxes from manure-amended soil under maize,7167,1970
1970,Controlled biosynthesis of greigite (Fe3S4) in magnetotactic bacteria,14521,1990
1971,System-Level Fragility Assessment under Interdependent Spatial Demand and Structural Capacity,70,1970
1972,Analytically pricing double barrier options based on a time-fractional Black–Scholes equation,2497,2015
1973,Human neuroserpin: structure and time-dependent inhibition,1611,2009
1974,"Europe. Climate Change 2007: Impacts, Adaptation and Vulnerability: Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate …",74403,1970
1975,Síndrome de Cushing exógeno e insuficiencia adrenal relacionada con consumo de producto natural,61,2017
1976,"Dust masses, PAH abundances, and starlight intensities in the SINGS galaxy sample",60140,2007
1977,Tolane liquid crystals bearing fluorinated terminal group and their mid-wave infrared properties,293,2014
1978,Investigation of hydrothermal activity at Campi Flegrei caldera using 3D numerical simulations: Extension to high temperature processes,241,2015
1980,Validation case studies of wireless monitoring systems in civil structures,4119,2005
1981,Assessing assumptions for data fusion procedures,572,2012
1982,Mandatory HIV testing and uptake of antenatal services in a primary health care centre in south-south Nigeria,147,1970
1983,Long-term memory for verbal and visual information in Down syndrome and Williams syndrome: Performance on the doors and people test,10480,2007
1984,Linguistic and spatial skills predict early arithmetic development via counting sequence knowledge,13987,2014
1985,Sensor networked mobile robotics,1382,2000
1986,Performance of changthangi x non-descript goats in Kargil (Ladakh),286,1970
1987,An activating mutation in the kinase homology domain of the natriuretic peptide receptor-2 causes extremely tall stature without skeletal deformities,10413,2013
1988,Racial and ethnic voting patterns in Miami,1885,1970
1989,Probabilistic model checking and reliability of results,905,2008
1990,Structural transformations in graphene studied with high spatial and temporal resolution,41465,2009
1992,Sulfur and nitrogen co‐doped graphene for metal‐free catalytic oxidation reactions,29877,2015
1993,Reversible Redox Switching of Chromophoric Phenylmethylenepyrans by Carbon–Carbon Bond Making/Breaking,720,2017
1994,P794: New modified heart rate variability analyses as detector of epileptic seizures,1028,1970
1995,Hemostatic abnormalities in ischemic stroke,2661,1998
1996,Olive pollination: flowers and pollen of two cultivars of Olea europaea,1153,2003
1997,"Comunicar literatura, comunicar cultura",32,1970
1998,Recent advances in neuromuscular blocking agents,894,2005
1999,Challenges facing adaptive mesh modeling of the atmosphere and ocean,2481,2010
2000,Corrosion resistance of Ca-Ni added weathering steel in marine environment,1572,1998
2001,Topological Nature of the Phonon Hall Effect,14812,2010
2002,Recognition and discrimination of gases by the oxygen-sensing signal transducer protein HemAT as revealed by FTIR spectroscopy,528,2006
2003,"Creation of a free, Internet-accessible database: the Multiple Target Ligand Database",1413,2015
2004,Higher Wages for Sustainable Development? Employment and Carbon Effects of Paying a Living Wage in Global Apparel Supply Chains,63,2019
2005,Two-line graphs of partial Latin rectangles,558,2018
2006,Assessment of vegetation indices for regional crop green LAI estimation from Landsat images over multiple growing seasons,7167,2012
2007,"The battle for Algeria: Sovereignty, health care, and humanitarianism",2886,2015
2008,The Preventive Detention of'Dangerous' Sex Offenders in Australia: Perspectives at the Coalface,479,2013
2009,Plant functional traits have globally consistent effects on competition,4213,2016
2010,Early monocular enucleation selectively disrupts neural development of face perception in the occipital face area,1011,2019
2011,Dosimetry in photodynamic therapy and laser-induced fluorescence spectroscopy,877,1999
2012,Sustained attention in real classroom settings: An EEG study,2858,2017
2013,Coral mucus as an efficient trap for picoplanktonic cyanobacteria: implications for pelagic–benthic coupling in the reef ecosystem,1491,2009
2014,Large-scale fabrication of ordered nanobowl arrays,18325,2004
2015,Bone marrow transplantation for thalassemia from alternative related donors: improved outcomes with a new approach,3221,2013
2016,Lateral arrays of vertical ZnO nanowalls on a periodically polarity-inverted ZnO template,709,2009
2017,Tres casos de mieloma múltiple de novo después de trasplante renal,61,2016
2018,Measuring global similarity between texts,167,2014
2019,電力自由化と技術開発: 21 世紀における電気事業の経営効率と供給信頼性の向上を目指して,6000,1970
2020,WWOX suppresses autophagy for inducing apoptosis in methotrexate-treated human squamous cell carcinoma,3489,2013
2021,"Timing and topography of cerebral blood flow, aura, and headache during migraine attacks",74403,1990
2022,Piezoelectric nanocomposite sensors assembled using zinc oxide nanoparticles and poly (vinylidene fluoride),4119,2013
2023,Osteoporosis knowledge among female adolescents in Egypt,131,1970
2024,"Characteristics, distribution and sources of polychlorinated biphenyls (PCBs) in coastal sediments from the heavily industrialized area of Asalouyeh, Iran",1211,2017
2025,Consistent physical measures of auditory source width for various frequency components of reflections,1005,1996
